id,experiment_uuid,participant_id,created_at,updated_at,trial_number,trial_type,trial_category,stimulus,response,response_time,firstStim,secondStim,cupFullness,tableType,y_position,dispImage_duration,accuracy,correct_response,trial_duration,time_elapsed,timestamp,user_agent
3477,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:22:55.901578,2026-02-13 13:22:55.901578,103,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",602.0,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,268.0,300.0,1.0,j,,342065,2026-02-13T13:22:55.620Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3484,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:22:58.836289,2026-02-13 13:22:58.836289,112,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",372.0,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,Full,Platform,487.0,300.0,1.0,f,,344999,2026-02-13T13:22:58.554Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3492,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:02.354642,2026-02-13 13:23:02.354642,121,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",553.0,src/assets/stimuli/cups/cupFull_posRight_tableGroove,src/assets/stimuli/cups/cupFull_posRight_tableGroove,Full,Groove,250.0,500.0,1.0,f,,348516,2026-02-13T13:23:02.071Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3499,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:05.564715,2026-02-13 13:23:05.564715,130,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",248.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posRight_tableGroove,Full,Groove,150.0,500.0,1.0,j,,351714,2026-02-13T13:23:05.269Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3506,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:08.750592,2026-02-13 13:23:08.750592,139,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",654.0,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,Full,Platform,71.0,300.0,1.0,j,,354917,2026-02-13T13:23:08.472Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3513,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:12.100897,2026-02-13 13:23:12.100897,148,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",388.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,Full,Flat,141.0,500.0,1.0,j,,358260,2026-02-13T13:23:11.815Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3520,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:14.859503,2026-02-13 13:23:14.859503,157,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",201.0,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,Full,Platform,272.0,300.0,1.0,f,,361013,2026-02-13T13:23:14.568Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3527,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:17.712801,2026-02-13 13:23:17.712801,166,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",302.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,388.0,300.0,1.0,f,,363875,2026-02-13T13:23:17.430Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3534,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:20.864031,2026-02-13 13:23:20.864031,175,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",180.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,316.0,500.0,1.0,f,,367022,2026-02-13T13:23:20.578Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3541,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:23.831815,2026-02-13 13:23:23.831815,184,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",618.0,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,Full,Platform,281.0,200.0,1.0,f,,369995,2026-02-13T13:23:23.550Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3552,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:26.727463,2026-02-13 13:23:26.727463,193,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",347.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posRight_tableGroove,Full,Groove,59.0,300.0,1.0,j,,372891,2026-02-13T13:23:26.446Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3558,6023b648-b34a-4a61-89e8-2589fb1b6e39,5dcae8c2f7bfb17b4b5a268d,2026-02-13 13:23:28.481747,2026-02-13 13:23:28.481747,13,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",1276.0,src/assets/stimuli/cups/cupHalf_posCenter_tableFlat,src/assets/stimuli/cups/cupHalf_posRight_tableFlat,Half,Flat,449.0,200.0,0.0,j,,149215,2026-02-13T13:23:28.438Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3565,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:29.874373,2026-02-13 13:23:29.874373,202,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",110.0,src/assets/stimuli/cups/cupFull_posCenter_tablePlatform,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,Full,Platform,331.0,500.0,1.0,j,,375960,2026-02-13T13:23:29.515Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3575,6023b648-b34a-4a61-89e8-2589fb1b6e39,5dcae8c2f7bfb17b4b5a268d,2026-02-13 13:23:31.768181,2026-02-13 13:23:31.768181,22,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",287.0,src/assets/stimuli/cups/cupHalf_posRight_tableFlat,src/assets/stimuli/cups/cupHalf_posCenter_tableFlat,Half,Flat,601.0,500.0,1.0,j,,152496,2026-02-13T13:23:31.720Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3585,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:33.159662,2026-02-13 13:23:33.159662,211,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",417.0,src/assets/stimuli/cups/cupFull_posRight_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,252.0,500.0,1.0,j,,379328,2026-02-13T13:23:32.883Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3591,6023b648-b34a-4a61-89e8-2589fb1b6e39,5dcae8c2f7bfb17b4b5a268d,2026-02-13 13:23:34.449824,2026-02-13 13:23:34.449824,31,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",305.0,src/assets/stimuli/cups/cupHalf_posCenter_tablePlatform,src/assets/stimuli/cups/cupHalf_posRight_tablePlatform,Half,Platform,545.0,200.0,1.0,j,,155184,2026-02-13T13:23:34.407Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3593,6023b648-b34a-4a61-89e8-2589fb1b6e39,627bbf69ab2788507bc421a2,2026-02-13 13:23:34.712160,2026-02-13 13:23:34.712160,13,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",1728.0,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,src/assets/stimuli/cups/cupFull_posRight_tablePlatform,Full,Platform,540.0,500.0,0.0,f,,79848,2026-02-13T13:23:34.647Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3601,6023b648-b34a-4a61-89e8-2589fb1b6e39,6710a58eeff954cb2243950e,2026-02-13 13:23:35.888399,2026-02-13 13:23:35.888399,220,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""f""",151.0,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,src/assets/stimuli/cups/cupFull_posCenter_tableGroove,Full,Groove,329.0,300.0,1.0,f,,382029,2026-02-13T13:23:35.584Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3609,6023b648-b34a-4a61-89e8-2589fb1b6e39,5dcae8c2f7bfb17b4b5a268d,2026-02-13 13:23:37.192458,2026-02-13 13:23:37.192458,40,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",64.0,src/assets/stimuli/cups/cupHalf_posCenter_tablePlatform,src/assets/stimuli/cups/cupHalf_posCenter_tablePlatform,Half,Platform,498.0,300.0,0.0,f,,157823,2026-02-13T13:23:37.046Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3613,6023b648-b34a-4a61-89e8-2589fb1b6e39,627bbf69ab2788507bc421a2,2026-02-13 13:23:37.363307,2026-02-13 13:23:37.363307,22,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",76.0,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,212.0,300.0,1.0,j,,82480,2026-02-13T13:23:37.278Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3630,6023b648-b34a-4a61-89e8-2589fb1b6e39,627bbf69ab2788507bc421a2,2026-02-13 13:23:39.943691,2026-02-13 13:23:39.943691,31,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",59.0,src/assets/stimuli/cups/cupFull_posRight_tableFlat,src/assets/stimuli/cups/cupFull_posRight_tableFlat,Full,Flat,76.0,300.0,0.0,f,,85084,2026-02-13T13:23:39.882Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3638,6023b648-b34a-4a61-89e8-2589fb1b6e39,627bbf69ab2788507bc421a2,2026-02-13 13:23:42.609350,2026-02-13 13:23:42.609350,40,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",114.0,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,src/assets/stimuli/cups/cupFull_posCenter_tableFlat,Full,Flat,118.0,300.0,0.0,f,,87748,2026-02-13T13:23:42.546Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
3639,6023b648-b34a-4a61-89e8-2589fb1b6e39,5dcae8c2f7bfb17b4b5a268d,2026-02-13 13:23:43.085269,2026-02-13 13:23:43.085269,49,html-keyboard-response,answerexpt,"<div style=""position: fixed; top: 50px; left: 50%; transform: translateX(-50%); text-align: center;"">f = same; j = different</div>","""j""",3018.0,src/assets/stimuli/cups/cupHalf_posCenter_tableFlat,src/assets/stimuli/cups/cupHalf_posRight_tableFlat,Half,Flat,326.0,500.0,1.0,j,,163816,2026-02-13T13:23:43.039Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
